Krabi,1,1,0,0,1,0,0,0,0,2
Bangkok,186,122,87,59,17,10,2,3,0,300
Kanchanaburi,1,1,0,1,1,0,0,0,0,3
Kalasin,0,0,0,0,0,0,0,0,0,0
Kamphaeng Phet,2,1,0,1,1,0,0,0,0,3
Khon Kaen,2,2,0,0,0,0,0,0,0,2
Chanthaburi,0,0,0,0,0,0,0,0,0,0
Chachoengsao,10,11,1,5,2,0,0,0,0,19
Chon Buri,11,8,3,10,2,1,0,0,0,23
Chai Nat,4,0,0,3,1,0,0,0,0,4
Chaiyaphum,1,1,0,1,1,0,0,0,0,3
Chumphon,4,2,1,1,2,0,0,0,0,6
Chiang Rai,3,2,0,1,0,0,0,0,0,3
Chiang Mai,6,5,0,3,3,0,0,0,0,11
Trang,1,1,0,0,1,0,0,0,0,2
Trat,0,0,0,0,0,0,0,0,0,0
Tak,0,0,0,0,0,0,0,0,0,0
Nakhon Nayok,0,0,0,0,0,0,0,0,0,0
Nakhon Pathom,16,10,5,11,3,0,0,0,0,29
Nakhon Phanom,1,0,0,1,0,0,0,0,0,1
Nakhon Ratchasima,3,3,1,2,1,1,0,0,0,8
Nakhon Si Thammarat,6,5,2,3,2,0,0,0,0,12
Nakhon Sawan,4,2,3,2,0,0,0,0,0,7
Nonthaburi,13,11,9,3,1,0,0,2,0,26
Narathiwat,0,0,0,0,0,0,0,0,0,0
Nan,0,0,0,0,0,0,0,0,0,0
Bueng Kan,0,0,0,0,0,0,0,0,0,0
Buri Ram,2,0,0,2,1,0,0,0,0,3
Pathum Thani,14,10,5,6,4,0,1,0,0,26
Prachuap Khiri Khan,0,0,0,0,0,0,0,0,0,0
Prachin Buri,7,4,0,3,3,1,0,0,0,11
Pattani,0,0,0,0,0,0,0,0,0,0
Phra Nakhon Si Ayutthaya,9,3,2,6,2,1,0,0,0,14
Phayao,3,1,1,2,1,1,0,0,0,6
Phangnga,0,0,0,0,0,0,0,0,0,0
Phatthalung,1,1,0,0,0,0,0,0,0,1
Phichit,1,0,0,1,0,0,0,0,0,1
Phitsanulok,0,0,0,0,0,0,0,0,0,0
Phetchaburi,0,0,0,0,0,0,0,0,0,0
Phetchabun,1,1,1,0,0,0,0,0,0,2
Phrae,0,0,0,0,0,0,0,0,0,0
Phuket,1,0,0,0,1,0,0,0,0,1
Maha Sarakham,1,1,1,0,0,0,0,0,0,2
Mukdahan,0,0,0,0,0,0,0,0,0,0
Mae Hong Son,0,0,0,0,0,0,0,0,0,0
Yasothon,0,0,0,0,0,0,0,0,0,0
Yala,0,0,0,0,0,0,0,0,0,0
Roi Et,1,0,0,1,0,0,0,0,0,1
Ranong,0,0,0,0,0,0,0,0,0,0
Rayong,7,3,0,1,3,0,0,0,0,7
Ratchaburi,3,2,0,1,0,0,0,0,0,3
Lop Buri,0,0,0,0,0,0,0,0,0,0
Lampang,2,1,0,2,0,0,0,0,0,3
Lamphun,1,0,0,1,0,0,0,0,0,1
Loei,1,1,0,1,1,0,0,0,0,3
Si Sa Ket,0,0,0,0,0,0,0,0,0,0
Sakon Nakhon,0,0,0,0,0,0,0,0,0,0
Songkhla,4,2,2,2,2,1,0,0,0,9
Satun,0,0,0,0,0,0,0,0,0,0
Samut Prakan,25,24,1,12,5,2,1,0,0,45
Samut Songkhram,1,1,0,0,1,1,0,0,0,3
Samut Sakhon,13,12,3,7,3,0,0,0,0,25
Sa Kaeo,0,0,0,0,0,0,0,0,0,0
Saraburi,4,2,1,2,2,0,0,0,0,7
Sing Buri,2,0,0,2,0,0,0,0,0,2
Sukhothai,0,0,0,0,0,0,0,0,0,0
Suphan Buri,2,2,0,0,1,0,0,0,0,3
Surat Thani,4,1,1,3,1,0,0,1,0,7
Surin,2,2,1,0,1,1,0,0,0,5
Nong Khai,0,0,0,0,0,0,0,0,0,0
Nong Bua Lam Phu,1,1,0,0,1,0,0,0,0,2
Ang Thong,1,0,0,1,0,0,0,0,0,1
Amnat Charoen,0,0,0,0,0,0,0,0,0,0
Udon Thani,2,0,0,2,0,0,0,0,0,2
Uttaradit,1,1,0,0,0,0,0,0,0,1
Uthai Thani,1,1,1,1,0,0,0,0,0,3
Ubon Ratchathani,0,0,0,0,0,0,0,0,0,0
รวม,394,264,132,166,72,20,4,6,0,664
